distance_to_pipe,height_of_first_pipe,height_of_bird,velocity_y,died_after_jump,player_jumped,bird_passed_pipe
523,385,314,2.6999999999999997,0,0,0
523,326,314,2.6999999999999997,0,1,0
493,326,338,-4.4,0,0,0
463,326,311,-1.4000000000000017,0,0,0
433,326,314,1.5999999999999985,0,0,0
403,326,347,4.599999999999997,0,1,0
373,326,314,-2.0000000000000018,0,0,0
343,326,311,0.9999999999999984,0,1,0
313,326,329,-4.7,0,0,0
283,326,299,-1.7000000000000017,0,0,0
253,326,299,1.2999999999999985,0,0,0
223,326,329,4.299999999999997,0,0,0
193,326,389,7.299999999999995,0,1,0
163,326,399,-3.200000000000001,0,0,0
133,326,384,-0.20000000000000157,0,0,0
103,326,399,2.799999999999998,0,1,0
73,326,405,-3.8000000000000007,0,0,0
43,326,384,-0.8000000000000016,0,0,0
13,326,393,2.1999999999999984,0,1,1
-17,326,376,-2.9000000000000012,0,0,0
-47,326,364,0.09999999999999842,0,0,0
-77,326,382,3.099999999999998,0,1,0
244,215,354,-2.3000000000000016,0,0,0
214,215,348,0.6999999999999984,0,1,0
184,215,356,-4.4,0,0,0
154,215,329,-1.4000000000000017,0,0,0
124,215,332,1.5999999999999985,0,1,0
94,215,331,-3.8000000000000007,0,0,0
64,215,310,-0.8000000000000016,0,0,0
34,215,319,2.1999999999999984,0,1,0
4,215,302,-2.9000000000000012,0,0,1
-26,215,290,0.09999999999999842,0,0,0
-56,215,308,3.099999999999998,0,0,0
-86,215,356,6.099999999999996,0,0,0
235,353,434,9.099999999999998,0,1,0
205,353,401,-2.0000000000000018,0,0,0
175,353,398,0.9999999999999984,0,0,0
145,353,425,3.9999999999999973,0,1,0
115,353,421,-3.200000000000001,0,0,0
85,353,406,-0.20000000000000157,0,0,0
55,353,421,2.799999999999998,0,1,0
25,353,398,-2.6000000000000014,0,0,1
-5,353,389,0.3999999999999984,0,0,0
-35,353,410,3.3999999999999977,0,1,0
-65,353,377,-2.0000000000000018,0,0,0
-95,353,374,0.9999999999999984,0,1,0
226,145,358,-3.200000000000001,0,1,0
196,145,338,-4.7,0,0,0
166,145,308,-1.7000000000000017,0,1,0
136,145,277,-2.6000000000000014,0,1,0
106,145,255,-4.1000000000000005,0,0,0
76,145,231,-1.1000000000000016,0,1,0
46,145,219,-4.1000000000000005,0,0,0
16,145,195,-1.1000000000000016,0,0,1
-14,145,201,1.8999999999999986,0,1,0
-44,145,195,-3.500000000000001,0,0,0
-74,145,177,-0.5000000000000016,0,0,0
247,211,189,2.4999999999999982,0,0,0
217,211,231,5.4999999999999964,0,1,0
187,211,289,-4.7,0,0,0
157,211,259,-1.7000000000000017,0,0,0
127,211,259,1.2999999999999985,0,0,0
97,211,289,4.299999999999997,0,1,0
67,211,278,-2.9000000000000012,0,0,0
37,211,266,0.09999999999999842,0,0,0
7,211,284,3.099999999999998,0,1,1
-23,211,251,-2.0000000000000018,0,0,0
-53,211,248,0.9999999999999984,0,0,0
-83,211,275,3.9999999999999973,0,1,0
238,174,320,-4.7,0,0,0
208,174,290,-1.7000000000000017,0,0,0
178,174,290,1.2999999999999985,0,1,0
148,174,295,-4.1000000000000005,0,0,0
118,174,271,-1.1000000000000016,0,0,0
88,174,277,1.8999999999999986,0,1,0
58,174,271,-3.500000000000001,0,0,0
28,174,253,-0.5000000000000016,0,0,1
-2,174,265,2.4999999999999982,0,1,0
-32,174,242,-2.6000000000000014,0,0,0
-62,174,233,0.3999999999999984,0,0,0
-92,174,254,3.3999999999999977,0,0,0
229,365,305,6.399999999999996,0,0,0
199,365,386,9.399999999999999,0,1,0
169,365,480,-4.7,0,0,0
139,365,450,-1.7000000000000017,0,0,0
109,365,450,1.2999999999999985,0,1,0
79,365,442,-3.500000000000001,0,0,0
49,365,424,-0.5000000000000016,0,0,0
19,365,436,2.4999999999999982,0,1,1
-11,365,433,-3.500000000000001,0,0,0
-41,365,415,-0.5000000000000016,0,0,0
-71,365,427,2.4999999999999982,0,1,0
-101,318,399,-2.3000000000000016,0,0,0
220,318,393,0.6999999999999984,0,0,0
190,318,417,3.6999999999999975,0,1,0
160,318,390,-2.3000000000000016,0,0,0
130,318,384,0.6999999999999984,0,0,0
100,318,408,3.6999999999999975,0,1,0
70,318,411,-3.500000000000001,0,0,0
40,318,393,-0.5000000000000016,0,1,0
10,318,391,-4.4,0,0,1
-20,318,364,-1.4000000000000017,0,0,0
-50,318,367,1.5999999999999985,0,1,0
-80,318,354,-3.200000000000001,0,1,0
241,128,330,-4.4,0,0,0
211,128,303,-1.4000000000000017,0,1,0
181,128,278,-3.200000000000001,0,1,0
151,128,251,-4.1000000000000005,0,0,0
121,128,227,-1.1000000000000016,0,1,0
91,128,226,-4.7,0,0,0
61,128,196,-1.7000000000000017,0,1,0
31,128,190,-4.7,0,0,0
1,128,160,-1.7000000000000017,0,0,1
-29,128,160,1.2999999999999985,0,0,0
-59,128,190,4.299999999999997,0,0,0
-89,128,250,7.299999999999995,0,0,0
232,266,340,10.3,0,1,0
202,266,347,-2.9000000000000012,0,0,0
172,266,335,0.09999999999999842,0,1,0
142,266,302,-2.0000000000000018,0,0,0
112,266,299,0.9999999999999984,0,0,0
82,266,326,3.9999999999999973,0,1,0
52,266,322,-3.200000000000001,0,0,0
22,266,307,-0.20000000000000157,0,0,1
-8,266,322,2.799999999999998,0,1,0
-38,266,306,-2.9000000000000012,0,0,0
-68,266,294,0.09999999999999842,0,1,0
-98,266,284,-3.8000000000000007,0,0,0
223,137,263,-0.8000000000000016,0,1,0
193,137,244,-3.500000000000001,0,0,0
163,137,226,-0.5000000000000016,0,0,0
133,137,238,2.4999999999999982,0,1,0
103,137,221,-2.9000000000000012,0,0,0
73,137,209,0.09999999999999842,0,0,0
43,137,227,3.099999999999998,0,1,0
13,137,194,-2.0000000000000018,0,0,1
-17,137,191,0.9999999999999984,0,1,0
-47,137,201,-4.4,0,0,0
-77,137,174,-1.4000000000000017,0,0,0
244,235,177,1.5999999999999985,0,0,0
